OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10 
+,5120,9573,2339,8489,7587,3592,1591,3710,128,3168
+,8660,4619,3355,1909,2443,6676,2457,2723,6211,7897
+,4022,7665,8157,563,9491,6859,8473,7223,1326,1535
+,7183,6595,3250,9852,2774,9831,7408,6711,8533,2616
+,6328,1213,9189,7087,4292,196,634,6873,6572,2869
+,541,5639,3006,6104,1040,4091,5275,9016,8575,6453
+,4648,7895,9090,7377,6784,7810,9729,919,2161,2045
+,2372,3576,2770,1527,3512,653,8743,8628,2802,1567
+,1424,3461,6207,2585,2854,3585,1768,1331,3420,880
+,4918,6914,5531,4874,1390,2890,9601,341,5021,4987
+,8645,6253,8414,3550,6077,8573,3330,4635,4091,5679
+,9751,8784,5323,3126,2273,6216,7629,8578,9822,4911
+,5771,6783,7930,1750,9039,9487,3267,8040,3267,239
+,3385,7886,8968,8497,8599,7773,9622,3673,1873,2687
+,1325,8047,9763,1781,6354,1125,5311,9963,8692,1494
+,9808,4158,5235,132,1382,7698,7633,2126,1632,2401
+,7666,1798,3084,9340,568,7781,3407,3939,1084,9291
+,1984,9207,6857,9334,2096,9215,6260,8800,6132,660
+,7145,9994,9649,8840,4561,8359,7990,2443,6129,5338
+,7573,4858,8931,1752,2415,863,6134,1754,4903,1307
+,1663,8527,838,5767,4703,300,6309,1762,5999,2576
+,6079,8295,9102,6462,6850,4706,3986,5432,2936,1691
+,4484,2310,5845,1850,2143,4827,4246,1444,7257,2432
+,3313,4621,2270,8199,1809,813,9511,7452,9667,7722
-,57,0,0,0,0,0,0,0,0,0
+,3964,2887,4951,7437,8732,7267,840,8103,1875,8872
+,1002,2959,4919,716,5127,8778,3658,1322,5795,8826
+,6042,6562,2847,3229,2902,9277,6545,4356,543,128
+,5116,6580,9889,4530,7904,7484,1899,3450,645,4307
-,828,0,0,0,0,0,0,0,0,0
+,4629,5104,5932,3520,4075,1852,3075,6238,3232,7055
+,8515,6880,2824,4882,5147,2480,9761,1313,4495,5832
+,9767,8915,4401,2547,9460,8605,3144,9330,6433,2555
+,4915,3393,5647,3380,9947,6769,627,9509,7937,2237
+,4236,7229,5941,9768,2333,1363,4249,6352,3990,2580
+,8127,4909,9212,5923,5893,6819,4605,2286,1841,2986
+,1439,7524,4437,7347,9678,4735,8522,6676,1688,3552
+,6424,5789,768,8648,5367,4909,3748,6505,9810,8118
+,3602,5587,3949,643,6731,3273,8640,6787,2995,6707
+,7715,6184,7899,576,6371,1543,2579,1324,9967,9222
+,7078,9745,9880,7120,5573,1310,6979,5896,8050,6412
-,332,0,0,0,0,0,0,0,0,0
+,7168,4173,6846,4372,5185,204,6841,3326,274,7485
+,4083,2728,2261,242,2514,6173,7675,2140,4524,2436
+,7101,6744,9614,9685,8,6756,3006,9836,9925,1234
+,7450,3864,3050,8965,114,4878,4065,9960,2921,7807
+,697,3139,4174,3325,1921,106,169,2378,8804,302
+,6730,1635,9935,1069,5506,2438,9695,6813,2455,8617
+,5150,5447,6887,2823,8164,8204,1900,2067,2831,6567
+,6833,7813,457,966,8743,289,5973,4841,4644,7004
+,9201,5523,2791,7353,6986,4970,3560,707,7181,1163
+,2261,8580,4585,5160,3864,114,3847,1778,8621,5687
+,9269,8780,6786,3106,6517,1396,1168,6672,474,2415
-,207,0,0,0,0,0,0,0,0,0
+,6427,1103,9201,3350,1630,9745,6330,7461,4576,1974
+,7515,8368,3942,6694,181,7222,8594,2281,5046,8967
+,6017,9952,7276,8889,1143,9555,4582,4064,5994,7016
-,571,0,0,0,0,0,0,0,0,0
+,695,2867,8020,2440,9751,305,2988,3685,3038,5953
+,3481,8697,4393,5316,6161,8863,6690,389,1081,5550
+,2467,5347,4664,8750,9196,1790,3708,7256,8170,9073
+,2591,6054,7184,9227,8338,3740,7449,7424,6358,4573
+,8065,9603,8568,1069,520,8765,2836,6945,458,6287
+,6911,1972,4466,7541,1611,7198,7391,6330,7298,2391
+,9460,6398,7527,47,5098,3483,4746,7439,1404,7149
+,8364,7914,5058,6821,4874,6391,8785,1294,5454,5238
+,3534,6142,45,6468,922,7659,8499,6813,2058,6210
+,4067,9818,3828,7950,7821,2885,7109,4862,2807,8381
+,9491,4258,6990,4221,3968,1399,5761,9219,1408,3992
-,520,0,0,0,0,0,0,0,0,0
+,3276,9586,2753,3265,632,95,6452,1097,3173,3726
+,7218,9233,9386,1234,6638,3753,2853,1516,7802,6245
+,8418,5541,5120,3419,6751,8661,8611,7464,5160,4168
+,5586,8997,4774,5547,6463,9173,97,346,420,5583
+,6245,5574,9492,5578,6468,4055,6853,631,8286,6008
+,7828,9338,6192,5670,2883,7577,5502,9375,4727,6050
+,4784,2427,5610,3392,4744,5645,1555,2742,7869,9030
+,5593,4023,1651,7767,3798,8545,5912,7262,5796,5097
+,5331,6261,2011,9644,9666,1821,1305,4450,9260,9451
+,344,2732,1233,8103,46,6089,7328,5009,5184,4130
-,527,0,0,0,0,0,0,0,0,0
+,2707,2508,3253,1004,1335,7883,6735,8720,7175,9530
+,6423,9046,4527,3609,8206,8085,1590,5453,1931,4817
+,4946,8438,1117,1338,5556,4083,5221,6856,7457,5468
+,8778,6732,934,8070,1164,5531,5341,3613,3720,9603
+,4547,7141,473,8028,7438,8888,8263,922,6696,8089
+,7589,8855,2771,3577,6015,2120,3177,201,9003,2818
+,4592,3629,3002,9709,5518,5119,3836,7432,6299,4795
+,3257,972,3804,2273,8177,3606,6799,7834,6218,7963
+,7895,4881,7440,9659,331,9213,5237,2886,2713,2631
+,6599,1078,6926,2696,3768,9523,5070,6394,4825,9422
+,7107,474,7142,2426,1608,3695,2332,7496,187,5983
+,2722,7704,3197,5028,2813,6478,5198,806,7760,5756
+,1023,9043,6327,7640,2309,29,9242,8978,6428,9314
+,6893,6227,9321,2092,2691,770,5979,420,5158,2264
+,596,4766,1473,8997,1087,9492,4121,400,932,1945
-,63,0,0,0,0,0,0,0,0,0
+,746,3962,3659,8972,6026,6322,8514,382,1751,5427
+,3073,1154,6177,8272,8689,5122,2783,4816,5555,7909
+,3764,6914,4533,1758,819,1662,5948,4136,6802,2367
+,5603,3743,4505,386,1753,7965,6594,3207,242,6447
+,3321,8257,2086,9835,6468,6225,7152,463,9521,2117
+,7597,930,2402,3218,7760,2531,9832,9640,2547,351
+,4151,8813,3250,1570,8399,8306,5175,3811,4015,9351
+,8938,3893,1012,4772,1674,7654,4168,8905,5948,191
+,109,2194,7230,7273,2808,7814,4161,6824,5750,1369
-,408,0,0,0,0,0,0,0,0,0
+,5314,9901,1115,1403,7152,4609,5978,6711,2433,7378
+,8033,1834,7493,6255,278,5225,4103,6430,6073,397
+,9834,5543,518,8404,3332,6528,1338,7280,6274,3605
+,264,1955,7043,5082,9266,3787,4964,1180,2859,3908
+,9522,5103,7999,3152,5921,9495,4282,354,145,8244
+,4871,8066,6432,4617,4439,8823,9393,2939,1151,6514
+,9999,644,2456,9106,539,3837,5257,2028,560,8919
+,8762,8847,7047,4272,3700,6061,5715,2366,4594,9381
-,743,0,0,0,0,0,0,0,0,0
+,6215,1740,8021,3554,7564,4318,4366,2333,7590,9258
+,1283,1083,3853,6865,7738,3566,2883,4603,6823,6767
-,760,0,0,0,0,0,0,0,0,0
+,9208,1705,8938,4948,8388,1301,4700,3033,6638,6983
+,2978,8111,2609,9670,544,16,8423,5231,5880,6960
+,9560,2230,5360,3943,7784,7818,4392,8105,7963,4732
+,4545,5369,7757,7794,8737,7348,9602,6532,2938,7595
+,1167,3511,6839,6336,6091,8985,3163,638,5361,6974
+,8182,817,8833,4247,3892,3057,1581,8357,9209,5461
+,449,4086,6474,6019,5213,5790,77,6204,3232,5863
+,7908,9163,3430,7384,3417,4618,1374,9377,3275,7924
+,3640,6040,6428,35,2158,7424,5337,1020,3510,8249
+,5860,5387,4669,1704,8040,2215,9359,8192,5965,7043
+,9217,5871,5192,5550,8118,5106,9402,5074,8479,4931
+,8374,4761,6392,3817,4663,8974,12,326,2408,283
+,2854,4273,4885,5542,2685,960,5741,6904,9255,6171
+,9914,3862,351,7341,6884,628,1821,6342,6272,1638
+,8727,7349,2799,8669,8663,5696,8375,9948,1273,6190
+,3933,5322,1721,2174,6737,3221,7496,5107,82,6533
-,125,0,0,0,0,0,0,0,0,0
+,6626,1476,4860,631,232,2612,4744,9578,9353,425
+,8122,2831,7033,4638,5040,6698,4615,6252,2826,1955
+,1674,4740,3771,3130,4821,6547,7525,5024,5608,1434
+,3111,5371,4249,9258,8142,3374,1259,5570,7835,4805
+,1855,6636,3171,7129,8082,5474,3734,7278,642,3412
+,5153,9788,8758,8596,1777,7787,6746,157,1958,1182
+,4569,7335,828,8616,5917,4274,54,7854,1091,2578
+,3539,9856,1101,1493,6388,7207,1876,5080,2902,3404
+,2203,583,6132,2316,9880,5972,2294,5025,6225,1521
+,8805,1192,172,9337,8456,4508,1155,1213,4443,24
+,6520,5465,2066,5327,2990,6149,1304,8592,4919,8299
-,232,0,0,0,0,0,0,0,0,0
+,8442,8771,6667,1027,7735,347,6133,719,931,9937
+,6143,9502,5436,1375,9354,1447,6046,8049,1700,8070
+,8770,2356,1163,3653,3305,5273,9294,446,5794,2165
+,8933,1916,4240,841,6308,6951,6465,6692,2200,2624
+,3542,3925,1217,31,9201,8546,4590,1724,6435,8116
+,1734,6403,3007,1936,4756,9041,2483,3508,2125,5196
+,5667,5989,6407,8712,4486,7783,2335,8871,4439,1715
+,9246,8854,8561,746,1560,2916,7673,3508,3829,7998
-,953,0,0,0,0,0,0,0,0,0
+,4041,7176,931,5560,2981,8198,7265,4781,3011,9509
+,7466,6800,4056,9791,8709,3226,2188,5605,6215,8386
+,3165,7748,7989,9691,6408,5618,6085,8937,2943,8129
+,8195,6049,4948,2232,463,839,4072,8796,8506,3841
+,4213,7134,6927,8598,2856,7704,3526,4991,7623,6153
+,7499,3248,7824,7025,1840,5725,7908,489,5081,2272
+,4260,1509,6873,3687,3256,2604,6133,3701,5744,346
+,1381,2907,2465,7834,9144,6489,3462,5689,1075,6563
+,5705,282,8979,6594,1693,8818,8998,1345,8998,9596
+,5317,2904,8989,9589,3449,815,7184,6991,1668,1468
+,3032,4969,8437,5983,5911,5519,5099,5764,6286,4968
+,7812,7245,6803,6041,4473,2763,6668,6190,7786,5291
+,2502,8233,8362,9877,6110,4169,1310,5603,9851,8867
+,1910,7295,9730,4510,2371,2424,1336,2704,464,2118
+,4922,5437,922,5163,1660,2832,5716,5742,9937,8451
+,6970,3309,3930,5640,71,5852,1965,5360,9729,756
+,9228,7695,4113,8632,9807,5764,8223,5164,6653,9796
+,3427,3497,2901,8489,923,7153,5120,8533,448,6715
+,3799,1182,5914,6207,550,703,6724,7783,7024,6638
+,601,2422,1289,4649,5516,905,9349,4399,6294,5242
+,5996,4472,3218,3537,888,3101,7948,5732,4084,3338
+,772,5685,9624,5267,9263,4501,3367,8228,7862,4375
+,1070,551,4360,7249,4252,6032,2521,3958,5970,3019
+,4071,6849,6615,4226,3747,867,4416,8804,7641,5341
+,5867,619,6852,3898,303,1437,6827,3568,2718,3620
+,8482,8868,4698,275,8342,8539,8616,2864,9983,9733
-,528,0,0,0,0,0,0,0,0,0
+,5932,8786,8671,4895,1299,639,1584,8041,8890,5127
+,8939,2505,8968,1060,1945,166,6231,3801,6713,3956
-,252,0,0,0,0,0,0,0,0,0
+,5371,3853,761,541,2038,9955,8125,3312,2980,9447
+,7243,9170,6752,8476,9178,6716,6443,8533,9390,7096
-,648,0,0,0,0,0,0,0,0,0
+,9303,1962,2974,4978,9876,8412,5970,5458,250,491
+,9593,7692,3181,3414,6239,5135,9160,3711,8517,7807
-,322,0,0,0,0,0,0,0,0,0
+,5348,635,2171,17,5612,357,4661,604,5800,789
+,8606,882,9396,278,674,1452,902,7326,53,3903
+,9547,3179,1121,9707,31,6775,6125,1118,1789,711
+,5787,5804,1850,3687,5864,825,1790,1307,215,2271
+,552,5281,6498,2020,226,4151,2492,5815,8885,5522
+,82,514,5425,5968,8439,7486,2102,9423,933,4974
+,7552,4699,7760,3700,959,2951,2740,5508,4276,8045
+,1203,1605,6160,9230,5,1377,6571,3205,4132,834
+,3014,7446,398,5626,4931,572,3899,9738,8932,7070
+,7803,3650,1098,7874,2474,1647,4223,8886,199,2206
+,2002,9070,7945,5645,6202,9947,4421,2722,5435,6806
+,4440,1435,8988,226,6900,8005,8454,3613,2554,7675
+,559,6834,3390,1658,5692,2617,2838,8321,5916,6038
+,9038,4893,8821,5549,9504,9400,7037,6869,4983,5972
+,3759,5252,7253,495,5057,6894,2007,9032,8009,3947
+,8862,3957,7099,2454,321,5865,9111,6129,1438,2505
+,5498,4108,6183,1200,6241,7613,8333,5770,6097,8793
+,3055,208,2240,5534,9389,2025,7926,6646,5683,4935
+,593,9637,2427,1075,1444,6743,1041,6526,6321,3014
+,4836,2955,4113,444,162,7073,5183,8934,4872,8793
+,6892,3395,4617,4967,3535,362,9979,6599,7778,4747
+,5683,8569,4900,777,7498,5910,440,4924,4668,2564
+,35,1808,6302,8566,3363,7729,3945,8555,9517,1150
+,9949,9897,6524,4916,6247,8572,5313,5357,7080,2322
+,5187,4523,8835,9818,5585,3522,204,3329,3994,2571
+,2499,2416,1153,7001,2776,8911,1070,350,8055,8542
+,8966,820,8845,6410,4787,4076,5098,850,8288,9849
+,8810,1633,4051,3579,9138,8919,9366,1886,8779,7681
+,9337,8317,5050,4452,4409,3851,7931,3484,2384,6839
-,983,0,0,0,0,0,0,0,0,0
+,1868,6147,8587,6592,329,2671,8318,4156,731,9988
+,9752,3212,5768,2071,1247,9587,1611,7249,4413,1307
+,6543,8632,3790,938,6938,114,571,7222,6342,191
+,2963,6596,1790,4963,4600,7286,1067,7124,7485,428
+,3093,7212,4564,5518,5564,5141,9801,2822,999,1499
+,415,4439,6470,7344,6611,8394,9077,8654,3879,5562
+,9796,3339,7560,6674,8206,148,6041,6074,6656,6442
+,5332,2099,3013,4597,9406,9981,2438,5053,5162,2272
+,2715,6501,1668,4591,3174,2201,8535,2846,5158,2584
+,6747,5223,8946,5812,5331,73,7143,9440,6834,2979
+,989,5888,2513,4583,5218,9839,3848,235,9827,3318
+,6119,5411,4219,4877,5888,1260,4610,5472,6678,5556
+,7582,9234,9127,184,9884,692,5195,3360,5040,7759
+,4873,5315,1456,5940,8545,7702,2905,4099,8007,4586
+,7236,1651,236,4354,4411,9777,7089,871,751,8395
+,6382,2694,2060,63,4299,9428,8142,8307,4187,1783
+,7820,3691,3639,3803,3775,2741,7107,9521,2228,8794
+,6107,5464,7230,8041,7353,2761,8538,5921,5035,1908
+,6510,1634,7063,2556,3985,8920,5880,4221,7588,7343
-,71,0,0,0,0,0,0,0,0,0
+,3563,8850,1813,916,585,6811,6168,9896,9017,9726
+,3458,7376,7343,8992,9477,2728,1660,4449,7803,4814
+,1366,9488,3090,7606,3353,3545,5498,7327,8001,9199
+,9165,5888,2076,3683,4813,3521,8964,8873,9053,1384
+,1026,4596,9933,6910,4346,1238,6628,8592,7262,7155
+,631,7032,7129,5618,8689,4734,6457,2572,9452,1976
+,1244,3324,3091,907,6338,6687,3071,6457,1000,7861
+,6378,6463,4884,1542,5643,5603,6324,5657,6477,635
+,8637,6222,9505,1435,5440,9466,8406,260,9509,633
+,3327,5657,2875,5023,7564,6773,5641,4205,1632,5043
+,2508,5242,8491,921,4429,4037,9084,1846,1937,7162
+,8724,5815,7827,480,380,2178,1496,8926,3992,9282
+,1968,9462,2702,2467,8937,5336,3861,3698,8343,4511
+,4506,3689,7587,5129,4494,9623,1068,3388,9518,9763
+,6642,5140,7438,1367,5070,6487,179,481,8917,7429
+,6922,8764,1520,4860,6052,8642,8639,383,2625,9570
+,5293,136,909,4951,2142,9307,5614,8137,3462,3089
+,2652,5944,9696,2019,1770,2893,4643,915,7886,2061
+,5785,7926,6652,940,5593,567,4949,3645,4259,5667
+,3496,4583,2882,1934,6735,3853,3438,7324,4554,2673
+,8902,1789,1925,2809,5135,6288,8210,8913,1467,773
+,1441,6733,8209,7764,7423,3028,1543,9577,3212,3151
+,9436,2581,7534,9655,3744,3268,4416,9741,5564,5353
+,9649,5061,8264,2538,1241,9212,9066,3188,888,3348
+,5180,1131,5271,3982,6461,6075,2488,7201,7691,9937
+,3337,4186,5971,4593,778,3071,3754,5363,7757,5352
+,8367,190,3712,5370,9989,6668,3139,1004,992,4306
+,8601,8289,8836,3172,574,2954,3191,1354,4449,4432
+,3258,9042,1077,8765,2223,2067,6719,8960,1715,1025
+,5608,5597,4363,6478,3926,259,1802,8732,9192,537
+,9781,315,7850,3276,7689,36,7006,7537,7046,9898
+,5197,1363,2151,5615,2630,8101,93,7243,1355,474
-,147,0,0,0,0,0,0,0,0,0
+,6054,6137,7122,7943,1173,9702,2951,6562,3620,9904
+,3187,151,672,1870,1223,7925,3742,9177,7382,8310
+,5698,9182,5091,9608,6111,4308,7256,5864,4194,3024
+,5786,657,531,3687,3545,4186,6352,3381,2691,8725
-,598,0,0,0,0,0,0,0,0,0
+,372,1828,7177,170,5178,1021,143,2743,5834,2898
+,1994,9839,3125,4643,4350,9987,93,9360,6928,6080
-,627,0,0,0,0,0,0,0,0,0
+,4217,5760,6426,7670,1449,2379,9852,8843,9869,8500
+,4966,3173,7346,4652,6775,9687,799,2266,5755,1153
+,7491,6417,1809,6066,9156,5021,5729,3707,2871,4230
+,7570,2655,6319,5027,8432,5696,8624,430,4176,9002
+,4415,7416,1604,8381,9741,1174,1100,3761,3890,6463
+,4393,9431,3513,3191,590,2292,5633,3257,1256,439
+,638,1298,518,6048,7860,7315,1794,3169,7437,664
-,580,0,0,0,0,0,0,0,0,0
+,8046,2098,3221,5400,4197,1330,8453,6754,9292,3929
+,7212,5336,7958,7600,863,2387,1998,2014,3630,7753
+,4706,578,1371,5997,2213,8034,6838,9332,4783,5824
+,6820,7917,965,6758,606,7822,7566,2772,6672,2366
+,1457,8064,7245,5918,4549,2642,297,2148,7080,1206
+,5790,1828,5763,5029,4013,740,1662,6153,9928,5347
+,8841,7487,9660,8776,9952,5747,1671,3823,8769,5116
+,8585,3726,3306,2105,3912,680,1506,3423,5052,3454
+,4193,1576,9680,2212,8118,7664,8811,5228,6763,2082
+,5702,2859,3633,7804,3865,7017,3695,1588,5274,325
-,322,0,0,0,0,0,0,0,0,0
+,7177,7786,5411,2880,5153,8027,7690,1804,3087,6674
+,9617,1725,1232,4352,4633,339,4560,1105,2188,9976
+,8233,6430,4920,2954,2935,7450,8709,3307,2351,5299
+,5265,4834,2522,8201,1405,4718,1807,1389,800,4024
+,699,1971,9807,9789,5217,2951,5115,1450,8055,130
+,7191,7269,8361,4551,4806,2276,6494,6626,9786,4398
+,1075,7127,9165,3254,8137,6896,2721,7520,7588,8062
+,6063,8187,990,1408,3405,6047,4158,1748,7016,4829
+,8967,7752,8024,6238,5818,7762,6378,8652,378,9363
+,4660,5534,5668,7209,1919,5860,4047,3460,8241,9159
+,4034,81,1245,6040,4233,3938,3557,2957,4137,6436
-,68,0,0,0,0,0,0,0,0,0
+,8198,9395,9829,2979,5680,2570,1798,8523,9409,3526
+,6271,6098,8155,7404,3758,4299,6140,2045,8362,524
+,532,4467,6285,3369,9242,9133,5661,2994,7612,8239
+,209,2436,4434,3787,8153,9765,4055,8284,5674,2981
+,8004,9801,422,9017,5309,9799,1052,5750,5869,2286
+,6786,5634,8220,846,9496,4105,251,1829,2932,9024
+,24,509,2676,8693,7006,8745,9704,411,6630,450
+,2550,2333,2029,2560,3330,503,4276,8824,5406,8001
+,7782,8914,501,2115,1051,4540,3295,6746,3039,9461
+,8595,3715,9542,9650,4293,1696,4958,632,3310,3557
+,8478,7670,2825,8632,6294,2138,6297,6089,6309,2766
+,7045,5269,4337,9094,3003,754,2687,7732,9110,1683
+,7249,4525,1711,6246,1450,7228,2411,2377,9127,8948
+,4128,2802,3916,6469,6818,1818,6008,6342,5142,350
+,6355,4974,9002,8531,1230,2813,3380,8613,4306,7476
+,2443,3681,9875,1076,1453,1995,905,2597,1782,1646
-,759,0,0,0,0,0,0,0,0,0
+,398,811,892,3930,9646,7909,6334,736,2942,1791
-,617,0,0,0,0,0,0,0,0,0
+,4104,8789,5374,6002,7608,9073,4907,8584,839,738
+,5799,185,6440,9557,9553,4746,3489,6973,9709,2196
+,4744,6732,3,7151,7308,6610,4545,5174,7577,8230
+,3608,4993,6823,3822,4802,3194,5990,8274,4264,4290
+,8992,2222,8405,7668,7374,4273,342,9409,7595,7563
+,106,7563,4041,7016,8239,9507,2929,7474,5811,6657
+,8875,4686,5663,2057,5886,7523,6881,3821,7511,6250
+,3780,6814,3335,1719,338,4363,6228,8770,2352,6140
+,393,8688,8076,9059,6315,7689,7114,9217,6705,3970
+,9939,1026,9096,2329,9179,5685,3449,2767,4623,6229
+,842,2349,9289,7491,701,5915,9681,4088,3118,1190
+,7349,5980,9507,686,2183,8894,4202,5364,278,4861
+,1079,9572,7217,2271,6402,5573,6561,5368,7279,5635
+,7157,3853,3182,1967,1428,4805,1195,7850,3367,665
+,1032,7511,2572,1430,2319,1110,1493,8918,7763,8808
+,1988,1306,8422,1960,5549,9675,565,2118,8322,3628
+,3884,8304,4208,490,7120,5498,3625,8071,7809,5583
+,6485,6770,1220,5857,7591,3202,8880,9190,4015,6012
+,9534,3351,4761,6583,3959,6798,4262,1763,6517,1367
+,4450,1532,2325,365,7854,1497,9290,8450,375,8906
+,8388,7200,6386,1459,9112,2686,9811,8524,1434,1935
+,75,7257,5693,4387,9263,3197,2737,8755,2634,3798
-,990,0,0,0,0,0,0,0,0,0
+,7746,6004,2503,5233,1912,4376,4822,3479,8358,9808
+,9085,3153,3352,568,5528,6402,9339,8077,1408,6104
+,2185,385,3813,2043,9770,2807,4434,645,3088,8789
+,3162,4803,8398,8845,2089,7694,2204,9286,8049,4841
+,8453,5714,4973,9210,6306,5452,1033,2897,2899,2579
+,70,2068,681,7579,8604,3823,9789,4936,6505,3009
+,1467,9527,603,7627,1714,3875,2655,426,9369,655
+,6097,9537,8736,2123,248,8605,2405,6386,3429,9228
+,22,631,4924,5700,1165,888,9706,6085,786,3083
+,4421,498,9088,5542,5039,7688,1176,5730,746,800
+,9665,4165,5589,2137,4416,3133,9537,4994,2173,1772
+,9761,6735,6885,5356,7036,7462,5858,3676,2594,5911
-,338,0,0,0,0,0,0,0,0,0
+,2053,5170,6242,5103,7421,5222,3902,403,3508,9910
+,8042,1587,5386,7485,1918,130,5437,2811,4289,3637
+,4134,1484,9081,668,2405,7574,1023,6649,4771,724
+,8037,1254,624,2215,5420,6022,2604,920,249,2242
+,7859,2991,7693,3381,747,3776,9176,2013,6829,512
+,2109,2762,8263,8854,5224,8951,6757,3131,8324,6283
+,4252,7922,6481,3211,5319,1925,2351,6948,7826,3002
+,694,8554,302,6991,3109,8760,4004,3447,1046,1295
-,4,0,0,0,0,0,0,0,0,0
+,5869,2850,4236,2263,5453,2499,4817,2223,6189,1854
+,6526,9783,1005,3928,8978,4363,8905,3759,4087,1874
+,2774,6233,9527,3860,6468,2727,8479,7393,6969,1514
+,9950,6905,8069,6575,9484,1688,9163,1142,390,5167
+,6364,2756,6245,3335,1809,6638,7537,763,1492,8216
+,5100,2434,7477,5076,4521,8210,4297,945,9772,7128
+,9918,2293,8184,2455,5179,431,3004,8160,9780,6021
+,5855,1556,3178,6802,9539,5125,2287,3615,5405,9685
+,3195,5186,6040,6655,1107,8918,1948,1964,3712,9266
+,9270,4566,1535,9418,3083,332,4972,5149,2511,3796
+,9279,3425,3588,7087,1506,6208,5089,6297,3729,5935
-,126,0,0,0,0,0,0,0,0,0
+,4077,7211,5778,442,7552,9613,6552,8003,127,2183
+,6604,812,4843,5386,216,5670,7057,623,7143,7602
+,8776,8861,7954,1806,9038,1363,3883,5335,7784,8088
+,5621,6772,5413,5559,7384,1843,5207,1311,503,8136
+,786,9556,802,1147,8136,5048,2547,6665,2463,119
+,9532,265,4013,5786,2598,1799,8574,8376,2744,8802
+,7754,2584,7149,5053,4189,4341,9348,2535,7645,1545
-,992,0,0,0,0,0,0,0,0,0
+,2220,4169,2503,2504,4113,3463,5456,9884,6711,6188
+,3099,7663,432,7968,7612,2641,6743,1063,5701,7824
+,6854,5939,5949,9706,7550,4403,6290,412,4044,7267
+,6116,6081,1298,8243,6807,1906,1741,4511,5163,2211
+,5446,6814,6767,5731,3577,6368,6113,3348,9368,6539
+,5995,9832,8119,1792,1130,5704,3268,325,9950,2576
+,6099,7646,6114,6825,1220,9190,4492,8213,4116,5788
+,3918,2224,9416,3980,5208,7920,3854,332,838,9664
+,1989,6352,5104,7731,3007,9025,782,820,3291,4171
-,927,0,0,0,0,0,0,0,0,0
+,4534,8086,3911,2206,9900,9582,2668,8104,4334,7988
-,505,0,0,0,0,0,0,0,0,0
+,9774,9359,6140,1969,7113,9383,5683,6830,829,7278
+,1304,5252,7617,2271,1885,6084,8011,6425,6489,2358
+,2623,9918,9080,950,5536,4726,7670,6838,6352,4775
+,5420,5910,2185,7583,7195,211,8101,2205,480,4874
+,3876,2895,9615,2685,5554,9097,1552,7508,1270,5229
+,1085,6616,9513,1350,2621,2270,9849,7242,2939,8560
+,8084,412,2867,4737,4629,769,1964,3131,9384,4906
+,1327,3716,5887,235,8179,4485,9015,9317,3794,6784
+,1887,5773,1606,5349,3434,678,1627,5757,9107,6091
-,971,0,0,0,0,0,0,0,0,0
+,7201,5689,2549,1128,4514,5865,2346,9325,5052,86
-,768,0,0,0,0,0,0,0,0,0
+,5183,4534,874,9096,5961,9760,6642,4893,4752,166
+,1416,8722,5403,9074,419,8987,9385,82,492,5707
+,2451,3254,9659,4426,7470,3310,4496,4227,9170,8632
-,684,0,0,0,0,0,0,0,0,0
-,713,0,0,0,0,0,0,0,0,0
+,9785,1148,6375,8407,4692,4156,8154,8031,3977,1116
+,7238,3280,4072,2880,886,4472,689,6463,4145,4038
+,8021,271,1085,142,3014,8689,7119,6562,8156,655
+,8074,4816,9700,545,9154,9391,9996,1292,5145,2547
+,3547,7542,3632,6835,389,9584,1004,6002,2014,8183
+,5425,4481,2255,7831,3808,2558,8057,9686,7237,2021
+,2810,9902,2945,4591,3443,520,3116,953,793,4367
+,5473,1743,4603,5041,7067,1438,7380,262,6482,1508
+,8677,5403,2994,6737,6090,3411,8368,2147,5236,4309
+,2514,5107,3593,5178,2110,3065,3007,5356,1006,4271
+,2291,6525,6039,4644,6384,8944,3124,6061,1316,3949
+,6260,5836,981,9412,875,5429,5099,8549,1483,5338
+,927,4559,3923,7357,9832,2271,2167,2808,3811,6646
+,9699,64,5755,6864,218,7248,9720,1309,4518,7050
+,2757,5407,4225,9548,1983,8395,35,7897,9422,2074
+,312,2216,2824,8532,9556,5424,5213,1473,1202,1575
+,3029,3727,3124,6904,3190,190,9997,9760,5115,6559
+,727,6543,9433,4489,8087,4880,6395,4309,1522,7345
+,8440,4518,7240,6962,7715,5743,3138,758,8747,3807
+,9714,526,9636,604,6947,2354,5488,6260,3050,7498
-,911,0,0,0,0,0,0,0,0,0
+,956,8818,4865,1813,7262,5497,9802,3854,2545,6041
+,9108,5559,5491,5741,4995,3649,2941,8378,3199,5989
+,9826,9717,3948,5950,289,6615,7936,2231,1043,3977
+,8410,7962,960,44,7106,6132,9180,3085,8616,971
+,2870,7093,6340,4198,28,8429,240,2620,9646,2763
+,167,4541,3436,8846,3475,2524,1810,4910,540,8236
-,583,0,0,0,0,0,0,0,0,0
+,7375,38,1140,2721,7202,1255,2698,8642,4553,3699
+,7614,7644,8482,9497,9279,5382,4154,7673,9848,7753
+,6596,263,7079,2774,8275,2708,4148,847,2772,3405
+,2593,570,2770,2443,8220,8209,7983,3165,6677,6512
+,5286,5693,4680,837,8422,5397,9496,8176,325,10
+,9766,5708,88,5214,1939,9612,4210,8485,3005,6625
